pincode,circle,region,division,offices
743373,West Bengal Circle,Kolkata Region,South Presidency Division,"Rudra Nagar SO, Bamankhali BO, Beguakhali BO, Chakfuldubi BO, Chemaguri BO, Companir Char BO, Dakshin Haradhanpur BO, Dhablat Shibpur BO, Dihimathurapur Gobindapur BO, Haradhan Pur BO, Harinbari BO, Jibantala BO, Kachuberia BO, Kalitala Daspur BO, Kamalpur BO, Khasramkarchak BO, Khasmahal BO, Khansahebabad BO, Kirtankhali BO, Lalpur BO, Mahendraganj BO, Mandirtala BO, Mrityunjoynagar BO, Nagendraganj BO, Narayanibad BO, Natendrapur BO, Prasad Pur BO, Radhakrishnapur BO, Sagar Bag Bazar BO, Sagar Barabari BO, Sagar Chandipur BO, Sagar Fulbari BO, Sagar Krishna Nagar BO, Sagar Bishnupur BO, Sagar Shibpur BO, Sapkhali BO, Sumatinagar BO, Mansadwip BO, Muri Ganga BO, Gangasagar BO"
743374,West Bengal Circle,Kolkata Region,South Presidency Division,"Nishchinta Pur SO, Aswathtala BO, Basar BO, Dakshin Chandipur BO, Dakshin Rajnagar BO, Gazirmahal Chitamari BO, Madhabnagar BO, Manicknagar BO, Raghunathpur BO, Ramnagar Shibpur BO, Ramtanunagar BO, Ramratanpur BO, Shibkalinagar BO, Srinagar Makarpara BO, Surjanagar BO, Tepakhali BO"
743375,West Bengal Circle,Kolkata Region,South Presidency Division,"Usthi SO, Baneswarpur BO, Borijpur BO, Boinchberia BO, Kensilly BO, Kuleswar BO, Masat BO, Nazra BO, Rasa Dogacha BO, Sarachi BO, Uttar Kusum BO"
743376,West Bengal Circle,Kolkata Region,South Presidency Division,"Taldi SO, Belegachi BO, Bhalleya BO, Chandkhali BO, Chhayani BO, Debisabad BO, Dhalirbati BO, Doltalaghola BO, Jibantala Sarangabad BO, Khaskumrakhali BO, Nagartala BO, Thakuraniberia BO"
743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO, Muchisa BO, Patharberia BO, Sonaria Naiya BO"
743378,West Bengal Circle,Kolkata Region,South Presidency Division,"Chhoto Mollakhali SO, Amtali BO, Amtali Bazar BO, Bara Mollakhali BO, Chimta BO, Dakshin Radhanagar BO, Kalidaspur BO, Kumirmari BO, Kumirmari Narendrapur BO, Nathpara BO, Paschim Radhanagar BO, Puinjali BO, Purba Radhanagar BO, Taranagar BO"
743383,West Bengal Circle,Kolkata Region,South Presidency Division,"Raidighi SO, Achintanagar BO, Baikunthapur BO, Bhubaneswari Bazar BO, Binodpur Ambikanagar BO, Dakshin Kashinagar BO, Damkal BO, Debipur BO, Goalara BO, Heramba Gopalpur BO, Jata BO, Jata Jogendrapur BO, Kankandighi BO, Kedarpur BO, Kishorimohanpur BO, Kuemuri BO, Kumrapara BO, Lakshmi Janardanpur BO, Nagenabad BO, Nagendrapur BO, Narayanipur BO, Paschim Jata BO, Paschim Sripatinagar BO, Purba Dwarikapur BO, Purba Sridharpur BO, Uttar Kankandighi BO"
743387,West Bengal Circle,Kolkata Region,South Presidency Division,"Piyali Town SO, Begampur BO, Brindakhali BO, Dhapdhapi BO, Kumarhat BO, Ramgopalpur BO, Sikharbali BO, Sitakundu BO, South Ramnagar BO, Baruipur Bazar BO"
743395,West Bengal Circle,Kolkata Region,South Presidency Division,"South Bishnupur SO, Bazarberia BO, Chaitanyapur BO, Chandpur BO, Digberia BO, Kecharkur Gopalnagar BO, Mandir Bazar BO, Pranballavpur BO, Purba Gopalnagar BO, Ramakantanagar BO, Satghara Debipur BO, Suta Becha BO"
743399,West Bengal Circle,Kolkata Region,South Presidency Division,"Dholahat SO, Bahirchak BO, Bhagabatipur BO, Bhajna Benepara BO, Bhatia BO, Bhagabanpur BO, Bohalberia BO, Chandipur BO, Dakshin Gangadharpur BO, Dakshin Jagadishpur BO, Durganagar BO, Harindanga BO, Harinkhola BO, Imamuddipur BO, Jumainaskar BO, Konchfal BO, Malaya BO, Raghudebpur BO, Ramchandranagar BO, Ramchandrapur BO, Ramdebpur BO, Shibnagar BO, Siddhiberia BO, Srinarayanpur BO, Taranagar BO, Uttar Birampur BO"
743401,West Bengal Circle,Kolkata Region,Barasat Division,"Baduria SO, Andharmanik BO, Bena BO, Buruj BO, Jasaikati BO, Nayabastia BO, Raghunathpur BO, Rudrapur BO, Simulia Durgapur BO, Taragunia BO"
743405,West Bengal Circle,Kolkata Region,Barasat Division,"Petrapole SO, Chhoygharia BO, Khalitpur BO"
743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO"
743412,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat College SO, Basirhat RS BO, Dandirhat BO, Dhaltitha BO, Harishpur BO, Karnalkora BO"
743422,West Bengal Circle,Kolkata Region,Barasat Division,"Bhabla SO, Biramnagar BO, Gotra BO, Kathur BO, Makhalgachha BO, Paikparahat BO, Pifa BO, Sangrampur BO, Jirakpur BO"
743423,West Bengal Circle,Kolkata Region,Barasat Division,"Deganga SO, Baidyapur BO, Beliaghata Bridge BO, Belpur BO, Bhasila BO, Gobardhanpur BO, Golabari Bazar BO, Kaliani BO, Karua Chandpur BO, Majlishpur BO, Parulia BO, Fazilpur BO, Ramnathpur BO, Sandalia BO, Sasan BO, Sohai Kumarpur BO"
743424,West Bengal Circle,Kolkata Region,Barasat Division,"Debalaya SO, Chakla BO, Chandpur BO, Chowrashi BO, Gobila BO, Hadipur BO, Kachua BO, Secondranagar BO"
743425,West Bengal Circle,Kolkata Region,Barasat Division,"Haroa SO, Minakhan BO, Adampur BO, Aziznagar BO, Atpukur BO, Bamanpukur BO, Chowhata BO, Dhuturdah BO, Joygram BO, Khalisadi BO, Kharupala BO, Khasbalanda BO, Kumarjole BO, Malancha BO, Narabunia BO, Raikhan BO, Uchildah BO"
743426,West Bengal Circle,Kolkata Region,Barasat Division,"Hasnabad SO, Barunhat BO, Bhurkunda BO, Chakpatli BO, Ghuni BO, Ghosalbati BO, Ichhapur Abad BO, Rameswarpur BO, Simulia Kalibari BO, Sulkuniabad BO"
743427,West Bengal Circle,Kolkata Region,Barasat Division,"Katiahat SO, Aturia BO, Bajitpur BO, Barabankra BO, Bhaduria BO, Bhojpara BO, Gandharbapur BO, Goaldah BO, Kaijuri BO, Khorgachi BO, Model Belghoria BO, Paschim Palta BO, Punra BO, Safirabad SC Ghosh Rd BO, Sayestanagar BO"
743428,West Bengal Circle,Kolkata Region,Barasat Division,"Kholapota SO, Raghunathpur BO, Sikrakulingram BO, Srinagar BO, Zafarpur BO"
743429,West Bengal Circle,Kolkata Region,Barasat Division,"Taki SO, Dakshin Bagundi BO, Kishor Nagar Jalalpur BO, Paschim Madhyampur BO, Soladana BO, Takipur BO, Taki Market SO"
743435,West Bengal Circle,Kolkata Region,Barasat Division,"Hingalganj SO, Amberia BO, Bankra Dabar BO, Bankra BO, Banshtala BO, Bishpur BO, Dharamberia BO, Kanchanpur BO, Kothabari BO, Purba  Khejurberia BO, Rupmari BO, Sandeler Bil BO, Takimamudpur BO"
743437,West Bengal Circle,Kolkata Region,Barasat Division,"Dhanyakuria SO, Arbelia BO, Begampur BO, Matia BO, Nehalpur BO"
743438,West Bengal Circle,Kolkata Region,Barasat Division,"Kolsur SO, Atghara BO, Jangalpur BO, Kamdevkati BO, Mandra BO, Parpatna BO"
743439,West Bengal Circle,Kolkata Region,Barasat Division,"Hatgachha SO, Bhanderkhali BO, Chandanpur BO, Choto Sahebkhali BO, Dakshin Hatgachha BO, Deuli Pukuria BO, Dulduli Mathbari BO, Hasnabad Rampur BO, Hemnagar BO, Jogeshganj BO, Kalitala BO, Lebukhali BO, Madhabkati BO, Malekangumti BO, Kanaikati BO, Parghumti BO, Paschim Parghumti BO, Paschim Sridharkati BO, Patghara BO, Purba Deuli BO, Sahebkhali BO, Samsernagar BO, South Charalkhali BO, Sridharkati BO, Uttar Malikanghumti BO"
743442,West Bengal Circle,Kolkata Region,Barasat Division,"Nazat Hatkhola SO, Baunia Abad BO, Bermajur BO, Boyermari BO, Choto Sehara BO, Dakshin Akhratala BO, Dheknamari BO, Ghotihara BO, Ghoshpara BO, Jhupkhali BO, Kalinagar Hat BO, Kanmari BO, Khariahatabad BO, Mathbari Abad BO, Nalkora BO, Nityaberia BO, Purba Sankardaha BO, South Sikarigheri BO"
743445,West Bengal Circle,Kolkata Region,Barasat Division,"Gopalpur SO North 24 Parganas, Amta BO, Bhabanipur BO, Chaita BO, Ghona BO, Gouribhoj BO, Sadarpur Behala BO"
